symbol,engine,signal_date,entry_date,entry_price,exit_date,exit_price,exit_reason,hold_days,pnl_pct,regime_state,yf_symbol,signal_close,signal_raw_close,signal_atr14,signal_bb_lower,tp_level,sl_level,signal_rsi14,signal_high_20d,signal_avg_dollar_volume_20d,signal_volume,market_cap,beta_1y
AAPL,bull,2024-01-24,2024-01-25,195.22000122070312,2024-03-05,170.1199951171875,SL,28,-12.857292258255438,bull,AAPL,192.5002288818359,194.5,3.3214307512555803,177.15289630500723,202.46452113560264,173.83146555375166,60.929732891305065,193.17323303222656,10168723476.028137,53631300.0,3979469914112.0,1.109
AMZN,bull,2024-01-24,2024-01-25,156.9499969482422,2024-02-02,171.80999755859375,TP,7,9.46798400719433,bull,AMZN,156.8699951171875,156.8699951171875,3.0378570556640625,145.75681424998922,165.9835662841797,142.71895719432516,63.06967726879104,156.8699951171875,6402404381.883469,48547300.0,2839014801408.0,1.383
GOOGL,bull,2024-01-24,2024-01-25,150.07000732421875,2024-03-28,150.92999267578125,EOT,45,0.5730561135407486,bull,GOOGL,147.48106384277344,148.6999969482422,2.7664315359933034,133.87172432485355,155.78035845075334,131.10529278886025,71.94886511197282,147.48106384277344,3276089692.347336,25233500.0,4166206881792.0,1.128
META,bull,2024-01-24,2024-01-25,390.1700134277344,2024-02-02,474.989990234375,TP,7,21.739235176347194,bull,META,387.6578369140625,390.7000122070313,8.495714460100439,335.2652411737304,413.1449802943638,326.76952671362994,74.71479214820536,387.6578369140625,5699821562.400665,15698500.0,1713511989248.0,1.309
MSFT,bull,2024-01-24,2024-01-25,404.3200073242187,2024-02-09,420.5499877929687,TP,12,4.014142306773216,bull,MSFT,395.7427978515625,402.55999755859375,6.231427873883937,354.46781327436133,414.43708147321433,348.2363854004774,75.82908165404004,395.7427978515625,8528172707.504578,24867000.0,3155936149504.0,1.107
NFLX,bull,2024-01-24,2024-01-25,55.19499969482422,2024-02-27,60.16699981689453,TP,23,9.008062595453815,bull,NFLX,54.48699951171875,54.48699951171875,1.688285555158343,45.611210317018745,59.55185617719378,43.9229247618604,76.92784988278386,54.48699951171875,2861208262.7326965,264328000.0,389246222336.0,1.669
NVDA,bull,2024-01-24,2024-01-25,62.349998474121094,2024-02-05,69.33200073242188,TP,8,11.1980792769365,bull,NVDA,61.32450866699219,61.36199951171875,1.8284285409109928,44.6402491358268,66.80979428972516,42.81182059491581,83.55872879345341,61.32450866699219,23616043687.048912,560271000.0,5062002737152.0,2.335
AMZN,bull,2024-01-25,2024-01-26,158.4199981689453,2024-02-02,171.80999755859375,TP,6,8.452215341758063,bull,AMZN,157.75,157.75,3.004999433244978,145.5626851604729,166.76499829973494,142.55768572722792,64.66332701071212,157.75,6554325877.193527,43638600.0,2839014801408.0,1.383
CAT,bull,2024-01-25,2024-01-26,301.0,2024-02-02,315.0899963378906,TP,6,4.681061906275952,bull,CAT,291.7301940917969,300.7699890136719,6.2985687255859375,270.09716871847985,310.6259002685547,263.7985999928939,68.3535720262075,291.7301940917969,750630855.0393677,4647100.0,386556035072.0,1.519
GOOGL,bull,2024-01-25,2024-01-26,151.10000610351562,2024-03-28,150.92999267578125,EOT,44,-0.11251715477622604,bull,GOOGL,150.62506103515625,151.8699951171875,2.876432146344866,133.0551809360304,159.25435747419084,130.17874878968556,76.26661892918767,150.62506103515625,3378695969.6961975,29149100.0,4166206881792.0,1.128
JPM,bull,2024-01-25,2024-01-26,172.61000061035156,2024-01-30,176.27000427246094,TP,3,2.1203891137057784,bull,JPM,164.83421325683594,172.94000244140625,2.883571079799107,159.07772132238117,173.48492649623327,156.19415024258205,68.31796955148619,164.83421325683594,1821374768.6940765,8873500.0,826036256768.0,1.043
META,bull,2024-01-25,2024-01-26,394.3500061035156,2024-02-02,474.989990234375,TP,6,20.44883552244492,bull,META,390.11859130859375,393.1799926757813,8.858570643833698,334.97248273941943,416.6943032400948,326.11391209558576,75.75335449746268,390.11859130859375,5820881486.519928,15091100.0,1713511989248.0,1.309
MSFT,bull,2024-01-25,2024-01-26,404.3699951171875,2024-02-09,420.5499877929687,TP,11,4.001284188034826,bull,MSFT,398.0137023925781,404.8699951171875,6.127857753208714,354.3171357052511,416.39727565220426,348.18927795204235,77.2194723959237,398.0137023925781,8716310179.951935,21021200.0,3155936149504.0,1.107
NFLX,bull,2024-01-25,2024-01-26,56.180999755859375,2024-03-01,61.93399810791016,TP,25,10.240113876668389,bull,NFLX,56.20000076293945,56.20000076293945,1.7195712498256144,44.522892404236245,61.3587145124163,42.80332115441063,79.98333472743164,56.20000076293945,3076840354.1160583,94519000.0,389246222336.0,1.669
NVDA,bull,2024-01-25,2024-01-26,60.959999084472656,2024-02-05,69.33200073242188,TP,7,13.73359871011166,bull,NVDA,61.57936477661133,61.617000579833984,1.8910715920584538,44.806659124602064,67.25257955278668,42.91558753254361,83.91160629286664,61.57936477661133,24501710639.69307,482777000.0,5062002737152.0,2.335
AMZN,bull,2024-01-26,2024-01-29,159.33999633789062,2024-02-02,171.80999755859375,TP,5,7.8260333295475215,bull,AMZN,159.1199951171875,159.1199951171875,3.0699996948242188,145.27794131686508,168.32999420166016,142.20794162204086,67.04739249458126,159.1199951171875,6719449139.986649,51047400.0,2839014801408.0,1.383
